Trip.ID,Sighting.ID,Latitude,Longitude,Species,calf,tides,SST,year,zonevelocity,zonemaxmask,medvelocity,medmaxmask,reef,month,season
20170101_OI_0900,29608,20.778,-156.607,BND Bottlenose Dolphin,NO,0.385,24.8,2017,-0.242198925,-0.242198925,0.257591412,0.257591412,FALSE,January,Cool
20170102_OQ_0800,29645,20.722,-156.901,FKW False Killer Whale,NO,0.385,24.9,2017,-0.242198925,-0.242198925,0.257591412,0.257591412,FALSE,January,Cool
20170102_OS_1230,29653,20.8214,-156.685017,BND Bottlenose Dolphin,NO,0.391,24.9,2017,-0.242198925,-0.242198925,0.257591412,0.257591412,FALSE,January,Cool
20170102_OD_1400,29664,20.86235,-156.701883,SPN Spinner Dolphin,NO,0.391,24.9,2017,-0.242198925,-0.242198925,0.257591412,0.257591412,TRUE,January,Cool
20170102_OQ_1430,29667,20.827,-156.751,BND Bottlenose Dolphin,NO,0.391,24.9,2017,-0.242198925,-0.242198925,0.257591412,0.257591412,FALSE,January,Cool
20170103_OO_0700,29682,20.654,-156.458,BND Bottlenose Dolphin,NO,0.391,25,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170103_OI_0800,29688,20.635,-156.493,BND Bottlenose Dolphin,NO,0.391,25,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,TRUE,January,Cool
20170103_OO_1630,29724,20.728,-156.535,BND Bottlenose Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170103_OO_1630,29726,20.714,-156.522,BND Bottlenose Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170104_OV_0630,29733,20.80605,-156.516417,BND Bottlenose Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,TRUE,January,Cool
20170104_OQ_0800,29739,20.778,-156.809,BND Bottlenose Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170105_OE_0645,29782,20.824,-156.742,SPT Spotted Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170105_OS_0730,29785,20.829,-156.672,BND Bottlenose Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170105_OQ_0800,29784,20.842,-156.753,SPT Spotted Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170105_OE_0915,29797,20.815,-156.716,BND Bottlenose Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170105_OS_1000,29795,20.813,-156.709,BND Bottlenose Dolphin,NO,0.293,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170106_OI_0800,29853,20.706,-156.457,SPN Spinner Dolphin,NO,0.247,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,TRUE,January,Cool
20170106_OV_1130,29852,20.702,-156.457,SPN Spinner Dolphin,NO,0.247,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,TRUE,January,Cool
20170106_OD_1130,29855,20.82,-156.69,BND Bottlenose Dolphin,NO,0.247,24.9,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170107_OQ_0800,29894,20.821,-156.719,BND Bottlenose Dolphin,NO,0.257,25.2,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170107_OD_1130,29889,20.81,-156.73,BND Bottlenose Dolphin,NO,0.247,25.2,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,FALSE,January,Cool
20170107_OS_1230,29906,20.813,-156.646,BND Bottlenose Dolphin,NO,0.257,25.3,2017,-0.250683631,-0.250683631,0.230604179,0.230604179,TRUE,January,Cool
20170108_OQ_0800,29921,20.763,-156.826,SPN Spinner Dolphin,NO,0.257,25.2,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170108_OO_1400,29952,20.717,-156.547,SPN Spinner Dolphin,YES,0.295,25.2,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170108_OE_1530,29951,20.871,-156.71,SPN Spinner Dolphin,NO,0.295,25.2,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170108_OQ_1730,29955,20.858,-156.728,SPN Spinner Dolphin,NO,0.295,25.2,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170109_OQ_0800,29985,20.753,-156.851,SPN Spinner Dolphin,NO,0.351,25.3,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170109_OS_1000,29980,20.776,-156.724,SPT Spotted Dolphin,NO,0.295,25.3,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170110_OD_0900,30014,20.872,-156.735,BND Bottlenose Dolphin,NO,0.351,25.3,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170111_OV_0700,30055,20.747,-156.507,BND Bottlenose Dolphin,NO,0.46,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170111_OQ_0800,30060,20.758,-156.83,SPN Spinner Dolphin,NO,0.46,25.3,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170111_OD_1130,30081,20.877,-156.692,SPN Spinner Dolphin,NO,0.455,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170111_OS_1230,30077,20.867,-156.683,SPN Spinner Dolphin,NO,0.455,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170111_OD_1400,30084,20.866,-156.686,SPN Spinner Dolphin,NO,0.455,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170111_OE_1415,30086,20.858,-156.69,SPN Spinner Dolphin,NO,0.455,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170112_OQ_0800,30104,20.743,-156.871,SPN Spinner Dolphin,NO,0.455,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,TRUE,January,Cool
20170112_OI_0830,30105,20.72,-156.533,FKW False Killer Whale,NO,0.455,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170112_OI_1045,30120,20.757,-156.537,BND Bottlenose Dolphin,NO,0.455,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170112_OS_1630,30137,20.835,-156.714,SPN Spinner Dolphin,NO,0.535,25.4,2017,-0.188357247,-0.188357247,0.166060156,0.166060156,FALSE,January,Cool
20170113_OQ_0800,30145,20.75,-156.852,SPN Spinner Dolphin,YES,0.535,25.5,2017,-0.143383006,-0.143383006,0.053524384,0.053524384,TRUE,January,Cool
20170114_OQ_0800,30189,20.744,-156.865,BND Bottlenose Dolphin,NO,0.5,25.5,2017,-0.143383006,-0.143383006,0.053524384,0.053524384,FALSE,January,Cool
